customer_id,gender,age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
C042,Female,41,28,70.65,1978.2,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C043,Male,27,6,23.75,142.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C044,Female,50,38,87.45,3323.1,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C045,Male,33,20,52.80,1056.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C046,Female,38,24,69.25,1662.0,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C047,Male,25,5,21.40,107.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C048,Female,47,42,93.20,3914.4,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C049,Male,34,18,46.75,841.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C050,Female,43,30,72.80,2184.0,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C051,Male,28,9,28.90,260.1,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C052,Female,49,39,86.15,3359.85,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C053,Male,30,12,36.20,434.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C054,Female,44,35,74.55,2609.25,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C055,Male,26,7,24.65,172.55,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C056,Female,51,46,100.30,4613.8,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C057,Male,32,15,43.85,657.75,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C058,Female,40,27,71.45,1929.15,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C059,Male,24,4,18.30,73.2,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C060,Female,46,36,89.80,3232.8,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C061,Male,35,19,49.60,942.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C062,Female,39,26,73.25,1904.5,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C063,Male,27,8,27.15,217.2,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C064,Female,48,41,91.45,3749.45,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C065,Male,31,11,34.75,382.25,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C066,Female,42,29,70.90,2056.1,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C067,Male,25,6,22.80,136.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C068,Female,50,37,88.65,3280.05,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C069,Male,33,16,45.30,724.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C070,Female,38,25,72.15,1803.75,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C071,Male,29,13,39.95,519.35,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C072,Female,45,33,75.20,2481.6,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C073,Male,26,5,20.85,104.25,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C074,Female,47,40,90.25,3610.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C075,Male,34,17,47.50,807.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C076,Female,41,28,71.80,2010.4,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C077,Male,28,9,29.45,265.05,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C078,Female,49,38,87.90,3340.2,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C079,Male,30,12,37.15,445.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C080,Female,43,31,73.55,2280.05,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C081,Male,25,7,25.20,176.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C082,Female,51,44,96.35,4239.4,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C083,Male,32,14,42.40,593.6,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C084,Female,40,27,70.10,1892.7,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C085,Male,27,6,23.25,139.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C086,Female,48,39,89.55,3492.45,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C087,Male,35,18,48.25,868.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C088,Female,39,26,72.80,1892.8,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C089,Male,24,4,17.95,71.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C090,Female,46,36,88.40,3182.4,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C091,Male,31,10,33.60,336.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C092,Female,44,34,74.25,2524.5,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C093,Male,29,8,26.35,210.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C094,Female,50,42,94.15,3954.3,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C095,Male,33,15,44.70,670.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C096,Female,38,24,69.90,1677.6,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C097,Male,26,5,21.75,108.75,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C098,Female,47,41,92.80,3804.8,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C099,Male,34,16,46.15,738.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C100,Female,42,29,71.25,2066.25,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No 
